Section,Title,Content
https://www.gov.uk/browse/visas-immigration,Main Page,"Apply to visit, work, study, settle or seek asylum in the UK Check if you need a UK Visa, electronic travel authorisation (ETA) or get access to an eVisa to prove your immigration status if you’re not a British citizen or Irish national Visit for tourism, business or a short stay (up to 6 months), airport transit visas Skilled Worker visa, Graduate visa, other work visas, right to work Student visas for courses, degrees and independent schools Partner, spouse, dependant and family member visas and permits Settled and pre-settled status, EU Settlement Scheme family permit, Frontier Worker permit Find the right visa, Ukraine Family Scheme visa, Ukraine Sponsorship Scheme visa, Homes for Ukraine BNO visa, right of abode, UK Ancestry visa Ways to settle in the UK, indefinite leave to remain (ILR) and routes to British citizenship Claiming asylum as a refugee, the asylum process and support Appeal against a visa, settlement or asylum decision, immigration status problems Moving your belongings, going through customs and tax"
https://www.gov.uk/browse/visas-immigration/what-you-need-to-do,What you need to do,"Check if you need a UK Visa, electronic travel authorisation (ETA) or get access to an eVisa to prove your immigration status if you’re not a British citizen or Irish national"
https://www.gov.uk/browse/visas-immigration/tourist-short-stay-visas,Visit the UK,"Visit for tourism, business or a short stay (up to 6 months), airport transit visas"
https://www.gov.uk/browse/visas-immigration/work-visas,Work in the UK,"Skilled Worker visa, Graduate visa, other work visas, right to work"
https://www.gov.uk/browse/visas-immigration/student-visas,Study in the UK,"Student visas for courses, degrees and independent schools"
https://www.gov.uk/browse/visas-immigration/family-visas,Family in the UK,"Partner, spouse, dependant and family member visas and permits"
https://www.gov.uk/visit-uk-holiday-family-friends,Visit the UK for a holiday or to see family or friends,"Find out what you need to do if you’re visiting the UK for a holiday or to see family or friends. You must meet the Standard Visitor eligibility requirements even if you do not need a visa. Depending on the country you're from, you might be able to visit the UK without a visa or by applying for an electronic travel authorisation. There's a different way to apply if: You may be able to visit on a family permit if you have a family member who is: Apply for an electronic travel authorisation (ETA) if you're a national of:"
https://www.gov.uk/come-uk-married,Come to the UK to get married,Find out what you need to do if you’re coming to the UK to get married. The visa you need depends on who you’re marrying and whether you want to live in the UK after. You can apply for either: You can apply for a family permit if you're marrying someone who is a citizen of:
https://www.gov.uk/browse/births-deaths-marriages,No Title,"Parenting, civil partnerships, divorce and Lasting Power of Attorney Birth certificates, registering a death, marriage, family history and correcting certificates Information about eligibility, claiming and when Child Benefit stops Reporting a death, wills, probate and Inheritance Tax Legal rights, birth certificates, parental rights and child maintenance Includes dealing with benefits, taxes and leaving care Includes getting married abroad, decree absolutes and looking after children"
https://www.gov.uk/browse/births-deaths-marriages/register-offices,"Certificates, register offices, changes of name or gender","Birth certificates, registering a death, marriage, family history and correcting certificates"
https://www.gov.uk/when-someone-dies,What to do when someone dies: step by step,"Check what to do after a death - how to register the death, notify government departments and deal with the estate. This step by step is also available as aWelsh (Cymraeg) guide. Check what to do if: The Tell Us Once service allows you to inform all the relevant government departments when someone dies. You'll also need to tell banks, utility companies, and landlords or housing associations yourself. You might be eligible for financial help. Check if you can get: Your tax, benefit claims and pension might change depending on your relationship with the person who died. Get help with managing grief and the things you need to do when someone dies. If your right to live in the UK depends on your relationship with someone who died you might need to apply for a new visa. Check the rules if: To find out if there’s Inheritance Tax to pay, you need to estimate the value of the property, money and possessions (the ‘estate’) of the person who died. You might need to apply for probate before you can deal with the property, money and possessions (the ‘estate’) of the person who died. Pay any debts or taxes owed by the person who's died. You can then distribute the estate as set out in the will or the law."
https://www.gov.uk/browse/births-deaths-marriages/child,Child Benefit,"Information about eligibility, claiming and when Child Benefit stops"
https://www.gov.uk/browse/births-deaths-marriages/death,Death and bereavement,"Reporting a death, wills, probate and Inheritance Tax"
https://www.gov.uk/browse/births-deaths-marriages/child-adoption,"Having a child, parenting and adoption","Legal rights, birth certificates, parental rights and child maintenance"
